,3G,3G Speed,Additional Content,Audio Formats,Audio Jack,Battery Capacity,Battery Type,Bluetooth Support,Bluetooth Version,Browse Type,Browser,Business Phone,Call Divert,Call Log Memory,Call Records,Call Timer,Call Wait/Hold,Color,Conference Call,Cost,Covered in Warranty,DLNA Support,Depth,Digital Zoom,Display Colors,Display Size,Display Type,Domestic Warranty,Dual Battery,Dual Camera Lens,EDGE,EDGE Features,Expandable Storage,FM Radio,FM Radio Recording,Flash,Frame Rate,Full HD Recording,GPRS,GPRS Features,GPS Support,GPU,Games,Graphics PPI,HD Game Support,HD Recording,Hands Free,Height,Hot SWAP Support,Hybrid Sim Slot,Image Editor,Imgsrc,Important Apps,In The Box,Infrared,Instant Message,Internal Storage,International Warranty,Internet Connectivity,JAVA Support,Java Application,Keypad,Keypad Type,Logs,MMS,Map Support,Memory Card Slot Type,Micro USB Port,Micro USB Version,Mini HDMI Port,Mini USB Port,Mini USB Version,Mobile Tracker,Model Name,Model Number,Music Player,NFC,Name,Network Type,Not Covered in Warranty,OTG Compatible,Operating Frequency,Operating System,Optical Zoom,Other Display Features,Other Features,Phone Book,Phone Book Memory,Pre-installed Browser,Predictive Text Input,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Quick Charging,RAM,Removable Battery,Resolution,Resolution Type,Ringtones Format,SIM Access,SIM Size,SIM Type,SMS,SMS Memory,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Secondary Clock Speed,Sensors,Series,Smartphone,Social Networking Phone,Sound Enhancements,Speaker Phone,Speed Dialing,Supported Languages,Supported Memory Card Type,Supported Networks,TV Out,Talk Time,Total Memory,Touchscreen,Touchscreen Type,USB Connectivity,USB Tethering,Upgradable Operating System,User Interface,User Memory,Video Call Support,Video Formats,Video Recording,Video Recording Resolution,Voice Input,WAP,WAP Version,Warranty Service Type,Warranty Summary,Weight,Wi-Fi,Wi-Fi Hotspot,Wi-Fi Version,Width,flipkart_link,reviewlink
307,,,EARPHONES,,,800 mAh,LI-ION,,,Feature Phones,,,,,,,,Blue,,599,Main Unit,,,,,1.8 inch,,,,,,,,,,,,,,,,,,,,,,,,,,https://rukminim1.flixcart.com/image/704/704/mobile/x/q/j/champion-bsnl-champion-x2-style-blue-bsnl-champion-x2-style-blue-original-imaebn4q3pwvyeez.jpeg?q=70,,"MOBILE,EARPHONES,CHARGER",,,100 KB,,,,,,,,,,,,,,,,,BSNL CHAMPION X2 STYLE BLUE,BSNL CHAMPION X2 STYLE BLUE,,,Champion BSNL CHAMPION X2 STYLE BLUE  (Blue),,PHYSICAL DAMAGE,,,0,,,,,,,,1.3MP,,,1 MHz,,,,,,320*480,HVGA,,,,Dual Sim,,,,,,,,,,,,,,,,"GSM, GSM",,,,No,,,,,,,,,,,,,,Service Center Warranty,1 Year Manufacturer Warranty,,,,,,https://www.flipkart.com/champion-bsnl-x2-style-blue/p/itmebng2af6mmxgd?pid=MOBEBNG2WFFKSXQJ&srno=s_26_19&otracker=search&lid=LSTMOBEBNG2WFFKSXQJHKXQSY&fm=organic&iid=80497b20-0cba-4074-b493-f72510d4def1.MOBEBNG2WFFKSXQJ.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/champion-bsnl-x2-style-blue/product-reviews/itmebng2af6mmxgd?pid=MOBEBNG2WFFKSXQJ
308,No,,,MP3,3.5 mm,950 mAh,Li-Ion,Yes,,Feature Phones,,Yes,Yes,,,,Yes,Blue & White,Yes,"1,119",,,,,,1.8 inch,,1 Year,,,,,8 GB,Yes,,,,,Yes,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/je5zlow0/mobile/g/f/z/glx-w5-combo-of-two-mobiles-w5-original-imaf2xy6jwrmpyay.jpeg?q=70,,"2 Mobiles, 2 Batteries, 2 Charger and User Manual",,,64 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,W5 Combo of Two Mobiles,W5,,,GLX W5 Combo of Two Mobiles  (Blue & White),2G,,No,"GSM- 900,1800 MHz",0,,,,Yes,,,,0.3MP,Yes,,,,,,32 MB,Yes,128 x 160$$Pixels,Quarter QVGA,,,,Dual Sim,Yes,,,No,,,,,No,,,,,"English,Hindi,Tamil,Gujarati",,"GSM, GSM",,,,No,,,,,,,,MP4,,,,,,1 Year Manufacturer Warranty,1 Year Manufacturer Warranty,,,,,,https://www.flipkart.com/glx-w5-combo-two-mobiles/p/itmf2wtf8rk4qypf?pid=MOBF2VMQ4YAXSGFZ&srno=s_26_20&otracker=search&lid=LSTMOBF2VMQ4YAXSGFZJWNQ5N&fm=organic&iid=ffa7cd94-88e9-4266-87af-b37f4a5d1056.MOBF2VMQ4YAXSGFZ.SEARCH&qH=911c35cead2534b4,
309,No,NA,,MP3/MIDI/WAV,3.5 mm,850 mAh,Li-ion,Yes,4,Feature Phones,NA,No,Yes,Yes,All,Yes,Yes,Blue,Yes,599,Warranty Of the Product is Limited to Manufacturing Defects Only,No,,No,65 K,1.8 inch,,1 Year,No,,No,,8 GB,Yes,Yes,No,NA fps,No,Yes,,No,,Yes,,No,No,Yes,47 mm,No,,No,https://rukminim1.flixcart.com/image/704/704/mobile/x/k/f/champion-x2-style-x2-style-original-imaed2x7ypzesdre.jpeg?q=70,,Mobile,No,Yes,,,2G,,Yes,Yes,,All,No,No,,Yes,2,No,,,No,X2 STYLE,X2 Style,"Yes, MP3 Music Player",,Champion X2 STYLE  (Blue),2G,"Warranty does not cover any external accessories (such as battery, cable, carrying bag), damage caused to the product due to improper installation by customer, normal wear and tear to magnetic heads, audio, video, laser pick-ups and TV picture tubes, pane",,GSM - 850,,No,,,Yes,"Yes, 200",,,0.3MP,Yes,,850 MHz,,,,32 MB,Yes,NA,,MP3/MIDI/WAV,Dual Standby,Full Size Sim,Dual Sim,Yes,"Yes, 1000",,No,,,,,No,Yes,,Yes,Yes,,MicroSD,"GSM, GSM",No,5 hr,8 GB,No,,Yes,No,NA,,0.6,No,3GP/MP4,Yes,,No,,,"On-Site Service. Customer Needs to Call the Nearby Authorized Service Center, Service Engineer Will Come to the Site to Get the Product Repaired Or Inspected.",1 Year Manufacturer Warranty,120 g,No,No,,14 mm,https://www.flipkart.com/champion-x2-style/p/itmegtdafm6zdd2h?pid=MOBEEXCZF9FEHXKF&srno=s_26_21&otracker=search&lid=LSTMOBEEXCZF9FEHXKFG4Z107&fm=organic&iid=999d3c5a-8763-48ba-b138-fcf47caf7a7f.MOBEEXCZF9FEHXKF.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/champion-x2-style/product-reviews/itmegtdafm6zdd2h?pid=MOBEEXCZF9FEHXKF
310,,,,MP3,3.5 mm,1250 mAh,Li-Ion,Yes,2.1,Feature Phones,,,,Yes,,,,Grey and Black,,"1,228",,,12.8 mm,,,2.4 inch,TFT,,,,,,16 GB,Yes,,,,,,,,,,,,,,118.5 mm,,,,https://rukminim1.flixcart.com/image/704/704/mobile/h/w/n/panasonic-gd25c-original-imaeyymzyakfwfvf.jpeg?q=70,,,,,,,,,,Yes,Alphanumeric,,,,,,,,,,,GD25c,,,,Panasonic GD25c  (Grey and Black),,,,"CDMA - 800; GSM - 900, 1800",,,,"English and Hindi Language Support, LED Torch, Mobile Tracker, CE Certified, In-built Games",,500,,,1.3MP,Yes,,,,0 0 0 0 Processor,,,,320 x 240 Pixels,QVGA,,,,Dual Sim,,300,,,,,,,,,,,,,MicroSD,"GSM, CDMA",,,,,,,,,,,,,Yes,,,,,,1 Year for Mobile & 6 Months for Accessories,,No,,,51.6 mm,https://www.flipkart.com/panasonic-gd25c/p/itmeyy4ftkhktedf?pid=MOBEYY4ETRKY5HWN&srno=s_26_22&otracker=search&lid=LSTMOBEYY4ETRKY5HWNP3QP0I&fm=organic&iid=797f2279-86b4-46db-9b76-d1faa1418d3c.MOBEYY4ETRKY5HWN.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/panasonic-gd25c/product-reviews/itmeyy4ftkhktedf?pid=MOBEYY4ETRKY5HWN
311,,,,,,1000 mAh,,,,Feature Phones,,,,,,,,Red & Yellow,,799,,,,,,1.4 inch,,,No,,,,,,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/j9it30w0/mobile/d/g/b/i-kall-k71-combo-of-two-mobile-k71-original-imaez6jexznsvg8v.jpeg?q=70,,"Handset, Battery, Charger, User Manual",,,64 MB,,,,,,Alphanumeric,,,,,,,,,,,K71 Combo of Two Mobile,K71,,,I Kall K71 Combo of Two Mobile  (Red & Yellow),2G,,No,,,,,,Yes,,,,0MP,No,,,,,,32 MB,,96 x 68 Pixels,,,,,Single Sim,Yes,,,No,,,,,No,,,,,,,GSM,,,,No,,,,,,,,,,,,,,,1 Year Manufacturer Warranty,,,,,,https://www.flipkart.com/kall-k71-combo-two-mobile/p/itmezaz6cygg55gx?pid=MOBEZ6JGTWGVUDGB&srno=s_26_23&otracker=search&lid=LSTMOBEZ6JGTWGVUDGB2XF6PD&fm=organic&iid=8a52c9e8-25be-4e60-899f-0c65e3d16d74.MOBEZ6JGTWGVUDGB.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/kall-k71-combo-two-mobile/product-reviews/itmezaz6cygg55gx?pid=MOBEZ6JGTWGVUDGB
312,,,Sd Card,,,1200 mAh,,,,Feature Phones,,,,,,Yes,Yes,Dark Silver,,"4,025",,,,,,2.8 inch,,,,,,,32 GB,Yes,Yes,yes,,,,,,,,,,,Yes,,,,,https://rukminim1.flixcart.com/image/704/704/mobile/x/h/h/nokia-230-dual-sim-230-original-imaepgpu3vjfczj4.jpeg?q=70,,,,,,,,,,Yes,Alphanumeric,,,,,,,,,,,230 Dual SIM,230,,,Nokia 230 Dual SIM  (Dark Silver),2G,,,,,,,,Yes,,,,2MP,,,,,0 0 0 0 Processor,,16 MB,,240 x 320 Pixels,QVGA,,,,Dual Sim,,,,,,,,,No,,,Yes,,,,"GSM, GSM",,,,,,,,,,,,,,,,,,,1 Year Manufacturer Warranty,,,,,,https://www.flipkart.com/nokia-230-dual-sim/p/itmezgyfmxzwpxnz?pid=MOBEEH5ESAEAFXHH&srno=s_26_24&otracker=search&lid=LSTMOBEEH5ESAEAFXHH4PQOND&fm=organic&iid=3d3d975e-3656-4f96-ada7-93d50d66d258.MOBEEH5ESAEAFXHH.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/nokia-230-dual-sim/product-reviews/itmezgyfmxzwpxnz?pid=MOBEEH5ESAEAFXHH
313,Yes,,,"WAV, AAX, AAX+, AAC, VBR, MP3, AIFF, HE-AAC",3.5 mm,2750 mAh,Li-Ion,Yes,4.2,Smartphones,Safari,,,Yes,,,,Rose Gold,,"40,999",,,7.3 mm,,16 M,5.5 inch,LED Backlit IPS LCD,,,,Yes,,,,,,"2160p@30fps; 1080p@30fps,1080p@60fps; 720p@30fps; Slow Motion Video Support: 1080p@120fps and 720p@240fps fps",Yes,Yes,,Yes,PowerVR GT7600 (Six-core Graphics),Yes,,,Yes,Yes,158.2 mm,,No,,https://rukminim1.flixcart.com/image/704/704/j7qi9ow0/mobile/m/p/f/apple-iphone-6s-plus-mn2y2hn-a-original-imaexvxumpk95wdy.jpeg?q=70,"Health, FaceTime, iTunes Store, App Store, iBooks, Game Center, Weather, Voice Memos, Stocks, Podcasts, iMovie, Pages, Keynote, Numbers, iTunes U, Garage Band, Remote, Find My iPhone, Find My Friends, Air Drop, Air Play, Control Centre, iCloud Drive, Notification Centre, Siri","Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, SIM Slot Remover Tool",,,32 GB,,"3G, 4G, Wi-Fi, GPRS, EDGE",No,,,,,,Google Maps,,,,,,,,iPhone 6s Plus,MN2Y2HN/A,,Yes,"Apple iPhone 6s Plus (Rose Gold, 32 GB)","4G, 3G, 2G",,,"GSM - 850, 900, 1800, 1900; UMTS - 850, 900, 1700, 1900, 2100; 4G LTE (TD) - Band 38/39/40/41",iOS 9,,"Retina HD Display with 3D Touch, LED Backlit Widescreen, 401 PPI, 500 cd/m2 Maximum Brightness, Full sRGB Standard, Dual Domain Pixels for Wide Viewing Angles, Fingerprint Resistant Oleophobic Coating, Display Zoom, Reachability","Photos, Wallet, Calendar, Notes, Reminders, Clock, Calculator",Yes,Yes,Safari,Yes,12MP,Yes,"iSight Camera, 1.22 µ Pixels, Live Photos, Auto Focus, Focus Pixels, True Tone Flash, Panorama (Upto 63 MP), Auto HDR for Photos, Exposure Control, Burst Mode, Timer Mode, f/2.2 Aperture, Five-element Lens, Hybrid IR Filter, Backside Illumination Sensor, Sapphire Crystal Lens Cover, Auto Image Stabilisation, Improved Local Tone Mapping, Improved Noise Reduction, Face Detection, Photo Geo-tagging, Slow-motion Video: Shoot Video at 120 fps,Time-lapse Video, Cinematic Video Stabilisation, Continuous Auto Focus Video, Take Still Photos While Recording Video, Zoom - 3x, Video Geo-tagging",1.84 GHz,Dual Core,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,,,No,1080 x 1920 Pixels,Retina HD Display,,,Nano Sim,Single Sim,Yes,Yes,5MP,Yes,"720p HD Video Recording, Retina Flash, f/2.2 Aperture, Auto HDR for Photos and Videos, Backside Illumination Sensor, Exposure Control, Burst Mode, Timer Mode, Face Detection",,"Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Digital Compass",,Yes,,,,,Multi-language Support,,4G LTE,,,,Yes,,Yes,,,,,Yes,"H.264, MP4, MOV, M4V, AAC-LC, MPEG4, AVI, MJPEG, PCM",Yes,3840 x 2160,Yes,,,,Brand Warranty of 1 Year,192 g,Yes,,802.11 a/b/g/n/ac,77.9 mm,https://www.flipkart.com/apple-iphone-6s-plus-rose-gold-32-gb/p/itmen2yyuyggpx32?pid=MOBEN2YYNZNK7MPF&srno=s_20_1&otracker=search&lid=LSTMOBEN2YYNZNK7MPFKY9CMG&fm=organic&iid=27676e84-8c7e-4c2f-b007-9ab313a75680.MOBEN2YYNZNK7MPF.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/apple-iphone-6s-plus-rose-gold-32-gb/product-reviews/itmen2yyuyggpx32?pid=MOBEN2YYNZNK7MPF
314,Yes,,,,,3090 mAh,,Yes,,Smartphones,,,,Yes,,,,Steel,,"27,775",,,,,,5.3 inch,,,,Primary Camera,,,256 GB,,,,,,,,Yes,,,,,,,,,Yes,,https://rukminim1.flixcart.com/image/704/704/ja73ki80/mobile/n/x/z/nokia-8-na-original-imaezn95gswbgacf.jpeg?q=70,"Google Assistant, Google Apps, Facebook","Handset, Charger, Charging / Data Cable, Headset, Quick Guide, SIM Door Key",,,64 GB,,"4G, 3G, Wi-Fi",,,,,,,Google Maps,,,,,,,,8,,,,"Nokia 8 (Steel, 64 GB)  (4 GB RAM)","4G, 3G, 2G",,Yes,,Android Nougat 7.1.1,,,"LTE Cat. 9, 3CA, 450 Mbps DL / 50 Mbps UL",,,,,13MP + 13MP,Yes,Dual Sight Mode,2.5 GHz,Octa Core,,,4 GB,,2560 x 1440 Pixels,,,,Nano SIM and Nano SIM,Dual Sim,Yes,Yes,13MP,Yes,,,"Compass Magnetometer, Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope and Barometer",,Yes,,,,,,microSD,"4G LTE, UMTS, WCDMA",,768 hrs,,Yes,Capacitive,,,,,,,,Yes,,Yes,,,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,Yes,,,,https://www.flipkart.com/nokia-8-steel-64-gb/p/itmeynuesmp9mkzv?pid=MOBEYNUEV8DMHNXZ&srno=s_20_2&otracker=search&lid=LSTMOBEYNUEV8DMHNXZFOCZKF&fm=organic&iid=fd2e5bae-995a-4e9d-979b-822ae13e7cf3.MOBEYNUEV8DMHNXZ.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/nokia-8-steel-64-gb/product-reviews/itmeynuesmp9mkzv?pid=MOBEYNUEV8DMHNXZ
315,,,,,,1050 mAh,,,,Feature Phones,,,,,,,,Black,,965,,,,,,2.2 inch,,,,,,,,,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/jajyj680/mobile/g/5/z/citycall-m77-m77-original-imaeymnm6hwhqfsz.jpeg?q=70,,"Handset, Battery, Charger, Hands-free, User Manual",,,64 MB,,,,,,,,,,Dedicated Slot,,,,,,,M77,M77,,,Citycall M77  (Black),2G,,No,,,,,,,,,,1.3MP,,,1.2 MHz,,,,64 MB,,320 x 400 Pixels,,,,,Dual Sim,,,,,,,,,,,,,,,,"GSM, GSM",,,,No,,,,,,,,,,,,,,,6 Months,,,,,,https://www.flipkart.com/citycall-m77/p/itmeurffwkgfzze5?pid=MOBFY3UBRGTZHG5Z&srno=s_20_3&otracker=search&lid=LSTMOBFY3UBRGTZHG5ZTWRNCC&fm=organic&iid=3ec89f37-eb89-40e6-9c0d-5e3ae1963d12.MOBFY3UBRGTZHG5Z.SEARCH&qH=911c35cead2534b4,
316,No,,"Battery, charger",MP3,3.5 mm,1000 mAh,Lithium-ion,Yes,,Feature Phones,,,Yes,,,,Yes,"Black Grey, White blue",Yes,"1,089",,,,,,1.77 inch,,1 Year,,,,,16 GB,Yes,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/jcf487k0/mobile/s/h/w/gfive-u220-combo-of-two-mobile-u220-original-imaffjuyx3pfhr2w.jpeg?q=70,,"2 Mobiles, 2 batteries, 2 charger",,,64 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,U220+ Combo of Two Mobile,U220+,,,"Gfive U220+ Combo of Two Mobile  (Black Grey, White blue)",2G,,No,,0,,,,Yes,,,,0.3MP,Yes,,,,,,32 MB,Yes,128*160,,,,,Dual Sim,Yes,,,No,,,,,No,,,,,,,GSM,,,,No,,,,,,,,MP4,,,,,,"1 Year Manufacturer Warranty for which the customer can contact our customer care at: +9111-33549027, +919582750855 or mail us @ customercare.konnect@gmail.com",1 YEAR MANUFACTURER WARRANTY,,,,,,https://www.flipkart.com/gfive-u220-combo-two-mobile/p/itmffjuyyhuda2gf?pid=MOBFFDBWMF4HVSHW&srno=s_20_4&otracker=search&lid=LSTMOBFFDBWMF4HVSHWN5NNK8&fm=organic&iid=e717fbfd-70e7-4383-aa76-277f7852d7cd.MOBFFDBWMF4HVSHW.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/gfive-u220-combo-two-mobile/product-reviews/itmffjuyyhuda2gf?pid=MOBFFDBWMF4HVSHW
317,,,,,3.5 mm,1800 mAh,Li-Ion,,,Feature Phones,,Yes,,,,,Yes,Grey,,920,,,,,,1.7 inch,,,,,,,,Yes,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/j1wgjgw0/mobile/y/b/n/micromax-x591-x591-original-imaetdke4fczhzvc.jpeg?q=70,,"Handset, Battery, Charger, USB Cable, Hands-free, User Guide, Warranty Card",,,,,,,,,Alphanumeric,,,,,Yes,,,Yes,,,X591,X591,,,Micromax X591  (Grey),2G,,No,,,,,,,,,,0.3MP,,,,,,,,Yes,320 x 480 Pixels,,,,Normal SIM,Dual Sim,,,,,,,,,,,,,,,,"GSM, GSM",,,,No,,,,,,,,,,,,,,,1 Year,,,,,,https://www.flipkart.com/micromax-x591/p/itmevt8yjxwjp7um?pid=MOBEQ4Z2XAPH4YBN&srno=s_20_7&otracker=search&lid=LSTMOBEQ4Z2XAPH4YBNGUVGUX&fm=organic&iid=920591d9-f0da-4d4c-b83f-4b3fb16a504a.MOBEQ4Z2XAPH4YBN.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/micromax-x591/product-reviews/itmevt8yjxwjp7um?pid=MOBEQ4Z2XAPH4YBN
318,No,,,MP3,3.5 mm,950 mAh,Li-Ion,Yes,,Feature Phones,,,Yes,,,,Yes,Black $$ Grey & Black $$ Red,Yes,"1,119",,,,,,1.8 inch,,1 Year,,,,,8 GB,Yes,,,,,Yes,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/jcuu2kw0/mobile/t/n/9/gfive-u229-combo-of-two-mobile-u229-original-imaffvzfjupt9xda.jpeg?q=70,,"Handset, Battery, Charger",,,64 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,U229 Combo of Two Mobile,U229,,,Gfive U229 Combo of Two Mobile  (Black $$ Grey & Black $$ Red),2G,,No,"850, 900, 1800, 1900 MHz",0,,,,Yes,,,,0.3MP,Yes,,,,,,32 MB,Yes,128 x 160$$Pixels,Quarter QVGA,,,,Dual Sim,Yes,,,No,,,,,No,,,,,,,"GSM, GSM",,,,No,,,,,,,,MP4,,,,,,"1 Year Manufacturer warranty for which the customer can contact G'Five Customer care at +9111-33549027, +919582750855 or mail us @ customercare.konnect@gmail.com",1 Year Manufacturer Warranty,,,,,,https://www.flipkart.com/gfive-u229-combo-two-mobile/p/itmffvzfhsx8awbv?pid=MOBFFRW9GAFDYTN9&srno=s_20_8&otracker=search&lid=LSTMOBFFRW9GAFDYTN9MBBHEF&fm=organic&iid=cc94b51c-383d-4e2f-b983-795fab8e8a36.MOBFFRW9GAFDYTN9.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/gfive-u229-combo-two-mobile/product-reviews/itmffvzfhsx8awbv?pid=MOBFFRW9GAFDYTN9
319,,,Handset and Charger,,,850 mAh,,,,Feature Phones,,,,,,,,Black & Red,,525,,,,,,1.8 inch,,,,,,,,,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/mobile/7/n/f/peace-p1-p1-original-imaemaznfcpjxgcn.jpeg?q=70,,Handset and Charger,,,,,,,,,,,,,,,,,,,,P1,P1,,,Peace P1  (Black & Red),2G,,No,,,,,,,,,,0.3MP,,,,,,,,,320 x 120 Pixels,,,,,Dual Sim,,,,,,,,,,,,,,,,"GSM, CDMA",,,,No,,,,,,,,,,,,,,,1 Year for Mobile & 3 Months for Accessories?,,,,,,https://www.flipkart.com/peace-p1/p/itmfyg464ggzcgrg?pid=MOBEMGZXC7FEF7NF&srno=s_20_9&otracker=search&lid=LSTMOBEMGZXC7FEF7NFIE5YUF&fm=organic&iid=2d354c89-7b28-4149-8d3d-1a7db42864fc.MOBEMGZXC7FEF7NF.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/peace-p1/product-reviews/itmfyg464ggzcgrg?pid=MOBEMGZXC7FEF7NF
320,,,,,,1800 mAh,,,,Feature Phones,,,,,,,,White & Champagne,,899,,,,,,1.7 inch,,,,,,,,,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/mobile/e/r/n/micromax-x591-x591-original-imaerzcgeeawe4zp.jpeg?q=70,,"Handset, Charger, Hands-free",,,,,,,,,,,,,,,,,,,,X591,X591,,,Micromax X591  (White & Champagne),2G,,No,,,,,,,,,,1MP,,,,,,,,,320 x 480 Pixels,,,,,Dual Sim,,,,,,,,,,,,,,,,"GSM, GSM",,,,No,,,,,,,,,,,,,,,1 Year Micromax India Warranty,,,,,,https://www.flipkart.com/micromax-x591/p/itmevt8yjxwjp7um?pid=MOBES5YHHQ4BHERN&srno=s_20_10&otracker=search&lid=LSTMOBES5YHHQ4BHERNUDSBLD&fm=organic&iid=26cd4621-c269-4e08-86c3-e27832bbd6c7.MOBES5YHHQ4BHERN.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/micromax-x591/product-reviews/itmevt8yjxwjp7um?pid=MOBES5YHHQ4BHERN
321,,,Handset and Charger,,,850 mAh,,,,Feature Phones,,,,,,,,Black & Blue,,515,,,,,,1.8 inch,,,,,,,,,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/mobile/g/a/f/peace-p1-p1-original-imaemazfbw5syabk.jpeg?q=70,,Handset and Charger,,,,,,,,,,,,,,,,,,,,P1,P1,,,Peace P1  (Black & Blue),2G,,No,,0,,,,,,,,0.3MP,,,,,,,,,320 x 120 Pixels,,,,,Dual Sim,,,,,,,,,,,,,,,,"GSM, CDMA",,,,No,,,,,,,,,,,,,,,1 Year for Mobile & 3 Months for Accessories?,,,,,,https://www.flipkart.com/peace-p1/p/itmfyg464ggzcgrg?pid=MOBEMGZYHFSYEGAF&srno=s_20_11&otracker=search&lid=LSTMOBEMGZYHFSYEGAFXPGDFR&fm=organic&iid=57835193-de5b-46fe-86fb-3be766c033e6.MOBEMGZYHFSYEGAF.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/peace-p1/product-reviews/itmfyg464ggzcgrg?pid=MOBEMGZYHFSYEGAF
322,,,,MP3,,1450 mAh,,,,Feature Phones,,,,Yes,,,,Black and Blue,,849,,,,,267 K,2.4 inch,,,,,,,64 GB,Yes,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/mobile/n/f/b/intex-lions-g1-na-original-imaerv4tg2mgdp7x.jpeg?q=70,,"Handset, Battery, Charger, Manual",,,34.5 KB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,Lions G1,,,,Intex Lions G1  (Black and Blue),2G,,No,,,,,,Yes,,,,0.3MP,Yes,,,,,,,,320 x 240 pixels,QVGA,,,,Dual Sim,Yes,,,,,,,,,,,,,,microSD,"GSM, GSM",,,,,,,,,,,,,,,,,,,Brand Warranty of 1 Year,,,,,,https://www.flipkart.com/intex-lions-g1/p/itmeuyd877twvvxe?pid=MOBERVFBQNUGHNFB&srno=s_20_12&otracker=search&lid=LSTMOBERVFBQNUGHNFBU0YFLN&fm=organic&iid=293b1ae0-1e40-4f67-b424-027fd2d98609.MOBERVFBQNUGHNFB.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/intex-lions-g1/product-reviews/itmeuyd877twvvxe?pid=MOBERVFBQNUGHNFB
